,Entreprise,Metier,Technologies,Diplome,Experience,Ville,Techlist
4224,UNKNOWN,Data scientist,vba/python/excel/r,Master,1.5,Lille,"['vba', 'python', 'excel', 'r']"
4225,Xylem,Data architecte,hadoop/hive/vertica/tableau,Bachelor,4.0,Toulon,"['hadoop', 'hive', 'vertica', 'tableau']"
4226,Ball Aerospace,Lead data scientist,python/r/machine learning/excel/vba/c++,Master,5.0,Lyon,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
4227,UNKNOWN,Data scientist,r/python/spark/pycharm/sas/sql,Phd,3.0,Toulon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
4228,Odonate Therapeutics,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Bachelor,0.0,Marseille,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
4229,Spotify,Data scientist,excel/vba/r/python/pyspark,Bachelor,1.0,Paris,"['excel', 'vba', 'r', 'python', 'pyspark']"
4230,CapTech Consulting,Data scientist,python/r/machine learning/excel/vba/c++,Master,2.5,Strasbourg,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
4231,Natural Resources Defense Council,Data architecte,c/c++/java/python,Bachelor,0.0,Lyon,"['c', 'c++', 'java', 'python']"
4232,AIG,Data scientist,sql/r/python/big data,Master,2.5,Lille,"['sql', 'r', 'python', 'big data']"
4233,UNKNOWN,Data engineer,hadoop/hive/sql/mariadb,No diploma,3.0,Nice,"['hadoop', 'hive', 'sql', 'mariadb']"
4234,Georgia Tech Research Institute,Data engineer,elasticsearch/kibana/mongodb,No diploma,1.0,Bordeaux,"['elasticsearch', 'kibana', 'mongodb']"
4235,Elev8 Hire Solutions,Lead data scientist,python/microsoft azure/r/sql,Phd,0.5,Lyon,"['python', 'microsoft azure', 'r', 'sql']"
4236,Google,Data scientist,r/machine learning/excel/vba,Phd,0.0,Lille,"['r', 'machine learning', 'excel', 'vba']"
4237,UNKNOWN,Data engineer,java/linux/gnu/docker,Phd,2.0,Nice,"['java', 'linux', 'gnu', 'docker']"
4238,KBI Biopharma,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,No diploma,5.0,Marseille,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
4239,SpotHero,Data engineer,java/linux/gnu/docker,Phd,2.0,Marseille,"['java', 'linux', 'gnu', 'docker']"
4240,Pfizer Inc.,Data scientist,java/c/c++/r/python,Master,7.0,Toulouse,"['java', 'c', 'c++', 'r', 'python']"
4241,Takeda Pharmaceutical,Data scientist,vba/python/excel/r,Phd,2.0,Marseille,"['vba', 'python', 'excel', 'r']"
4242,Twitter,Data engineer,elasticsearch/kibana/mongodb,Master,2.0,Toulouse,"['elasticsearch', 'kibana', 'mongodb']"
4243,UNKNOWN,Data scientist,excel/python/matlab/r/machine learning/anglais,Master,3.5,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
4244,Decision Resources Group,Data scientist,vba/python/excel/r,Master,2.5,Lille,"['vba', 'python', 'excel', 'r']"
4245,University of Texas at Austin,Data architecte,java/python/linux,Bachelor,6.0,Lyon,"['java', 'python', 'linux']"
4246,Ann & Robert H. Lurie Children’s Hospital of Chicago,Data architecte,spark/python,Phd,2.5,Toulouse,"['spark', 'python']"
4247,Ranker,Data engineer,java/hadoop/hadoop/yarn,Master,1.5,Rouen,"['java', 'hadoop', 'hadoop', 'yarn']"
4248,UNKNOWN,Data scientist,python/r/spark/hadoop/sql,Phd,0.0,Paris,"['python', 'r', 'spark', 'hadoop', 'sql']"
4249,Harvard Pilgrim Health Care,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Master,3.0,Lyon,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
4250,ICF,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,3.0,Lille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4251,Twitter,Data engineer,java/hadoop/hadoop/yarn,Phd,0.5,Rennes,"['java', 'hadoop', 'hadoop', 'yarn']"
4252,UNKNOWN,Data architecte,python/hadoop/kafka/aws,Bachelor,8.0,Rouen,"['python', 'hadoop', 'kafka', 'aws']"
4253,McKinsey & Company,Data engineer,hadoop/hive/sql/mariadb,No diploma,4.0,Paris,"['hadoop', 'hive', 'sql', 'mariadb']"
4254,UNKNOWN,Data scientist,r/python/spark/pycharm/sas/sql,Master,0.5,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
4255,Aptus Health,Data scientist,python/r/machine learning/excel/vba/c++,Master,1.0,Lille,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
4256,Facebook,Data architecte,java/aws/elasticsearch/kibana,No diploma,0.0,Lyon,"['java', 'aws', 'elasticsearch', 'kibana']"
4257,Merck,Lead data scientist,java/c/c++/r/python,Master,4.0,Rennes,"['java', 'c', 'c++', 'r', 'python']"
4258,ICF,Data engineer,oracle/java/mysql/linux,Master,4.0,Toulouse,"['oracle', 'java', 'mysql', 'linux']"
4259,Clinical Solutions Group,Data scientist,excel/vba/r,Phd,3.0,Marseille,"['excel', 'vba', 'r']"
4260,exp,Data architecte,java/python/linux,Master,3.5,Lyon,"['java', 'python', 'linux']"
4261,UNKNOWN,Data scientist,excel/python/matlab/r/machine learning/anglais,Phd,5.0,Nice,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
4262,UNKNOWN,Lead data scientist,sql/r/python/big data,Bachelor,3.5,Paris,"['sql', 'r', 'python', 'big data']"
4263,Workbridge Associates,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Master,2.5,Marseille,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
4264,Ball Aerospace,Data architecte,docker/gnu/windows/linux/python,Master,6.0,Lyon,"['docker', 'gnu', 'windows', 'linux', 'python']"
4265,Accenture,Lead data scientist,python/r/spark/hadoop/sql,Master,0.5,Lyon,"['python', 'r', 'spark', 'hadoop', 'sql']"
4266,UNKNOWN,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,No diploma,1.5,Marseille,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
4267,Cooperative Institute for Research in the Atmosphere,Data architecte,hadoop/hive/vertica/tableau,No diploma,4.0,Lyon,"['hadoop', 'hive', 'vertica', 'tableau']"
4268,PAE,Lead data scientist,excel/python/matlab/r/machine learning/anglais,Bachelor,2.5,Rennes,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
4269,NCSA - Next College Student Athlete,Data architecte,mongodb/sql/docker,Bachelor,3.0,Montpellier,"['mongodb', 'sql', 'docker']"
4270,Ball Aerospace,Data engineer,python/java/linux/gnu,Master,4.0,Lyon,"['python', 'java', 'linux', 'gnu']"
4271,DiMeo Schneider & Associates,Data scientist,matlab/c/c++/python/scikit-learn,Phd,2.5,Marseille,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
4272,Federal Reserve Bank of Chicago,Data architecte,java/aws/elasticsearch/kibana,Master,3.5,Lille,"['java', 'aws', 'elasticsearch', 'kibana']"
4273,Ball Aerospace,Data architecte,hadoop/hive/vertica/tableau,Master,1.0,Marseille,"['hadoop', 'hive', 'vertica', 'tableau']"
4274,UNKNOWN,Data architecte,spark/python,Master,3.5,Toulouse,"['spark', 'python']"
4275,Oneida ESC Group,Data scientist,c++/r/python/matlab/matplotlib,Phd,3.5,Marseille,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
4276,Solid Biosciences,Data scientist,python/r/machine learning/excel/vba/c++,Master,2.5,Montpellier,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
4277,"Anthem, Inc.",Data engineer,python/pyspark/spark,Master,4.0,Toulouse,"['python', 'pyspark', 'spark']"
4278,Recurly,Data architecte,elasticsearch/kibana/redshift,No diploma,2.0,Strasbourg,"['elasticsearch', 'kibana', 'redshift']"
4279,UnitedHealth Group,Data architecte,hadoop/elasticsearch,No diploma,1.0,Toulouse,"['hadoop', 'elasticsearch']"
4280,LaunchCode,Data engineer,python/spark/gnu/linux,Master,2.0,Bordeaux,"['python', 'spark', 'gnu', 'linux']"
4281,Wayfair,Lead data scientist,python/r/machine learning/excel/vba/c++,Phd,3.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
4282,HDR,Data scientist,java/c/c++/r/python,Phd,9.0,Rouen,"['java', 'c', 'c++', 'r', 'python']"
4283,Capgemini,Data engineer,mongodb/mariadb/python/docker,Master,1.0,Paris,"['mongodb', 'mariadb', 'python', 'docker']"
4284,Atlas Wearables,Lead data scientist,sql/r/python/big data,Master,3.0,Lyon,"['sql', 'r', 'python', 'big data']"
4285,GEORGIA-PACIFIC,Data scientist,python/pyspark/machine learning/microsoft azure,Phd,2.5,Toulouse,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
4286,Jobspring Partners,Data scientist,excel/vba/r/python/pyspark,Phd,0.0,Strasbourg,"['excel', 'vba', 'r', 'python', 'pyspark']"
4287,UNKNOWN,Data architecte,cassandra/mongodb/nosql/aws,Phd,4.0,Lille,"['cassandra', 'mongodb', 'nosql', 'aws']"
4288,Tempus,Data architecte,mongodb/sql/docker,Bachelor,4.0,Lille,"['mongodb', 'sql', 'docker']"
4289,Honey,Data engineer,spark/python/scala,Master,5.0,Lille,"['spark', 'python', 'scala']"
4290,UNKNOWN,Data scientist,excel/vba/r/python/pyspark,Phd,1.5,Paris,"['excel', 'vba', 'r', 'python', 'pyspark']"
4291,Amazon.com,Data scientist,excel/vba/r,Phd,3.5,Marseille,"['excel', 'vba', 'r']"
4292,Tempus,Data engineer,python/spark/gnu/linux,Bachelor,1.0,Strasbourg,"['python', 'spark', 'gnu', 'linux']"
4293,Olympia Medical Center,Data scientist,python/r/machine learning/excel/vba/c++,Master,4.0,Rouen,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
4294,Label Insight,Data scientist,python/pyspark/machine learning/microsoft azure,Phd,0.0,Paris,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
4295,Brigham & Women's Hospital(BWH),Data engineer,elasticsearch/kibana/mongodb,Master,5.0,Lyon,"['elasticsearch', 'kibana', 'mongodb']"
4296,AIG,Data scientist,c++/r/python/matlab/matplotlib,Phd,2.0,Lyon,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
4297,Ball Aerospace,Lead data scientist,sql/r/python/big data,Master,2.5,Lyon,"['sql', 'r', 'python', 'big data']"
4298,Natero,Data scientist,excel/vba/r,Master,2.5,Marseille,"['excel', 'vba', 'r']"
4299,Burns & McDonnell,Data architecte,cassandra/mongodb/nosql/aws,Phd,2.0,Lyon,"['cassandra', 'mongodb', 'nosql', 'aws']"
4300,UNKNOWN,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,3.0,Bordeaux,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4301,National Geographic,Data engineer,java/hadoop/hadoop/yarn,Master,4.0,Paris,"['java', 'hadoop', 'hadoop', 'yarn']"
4302,UNKNOWN,Data engineer,java/linux/gnu/docker,Master,3.5,Lille,"['java', 'linux', 'gnu', 'docker']"
4303,Tetra Tech,Data architecte,hadoop/elasticsearch,Master,4.0,Paris,"['hadoop', 'elasticsearch']"
4304,Central Intelligence Agency,Data architecte,hadoop/hive/vertica/tableau,Master,3.5,Lyon,"['hadoop', 'hive', 'vertica', 'tableau']"
4305,UNKNOWN,Data engineer,java/linux/gnu/docker,Master,1.0,Lille,"['java', 'linux', 'gnu', 'docker']"
4306,h2o.ai,Data scientist,vba/python/excel/r,Master,2.0,Paris,"['vba', 'python', 'excel', 'r']"
4307,UNKNOWN,Data architecte,hadoop/perl/gnu/linux,Master,1.0,Toulouse,"['hadoop', 'perl', 'gnu', 'linux']"
4308,Humanyze,Data architecte,java/aws/elasticsearch/kibana,Master,4.0,Lyon,"['java', 'aws', 'elasticsearch', 'kibana']"
4309,Ball Aerospace,Data scientist,sql/r/python/big data,Phd,3.0,Marseille,"['sql', 'r', 'python', 'big data']"
4310,ICF,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,2.0,Nantes,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4311,UNKNOWN,Data scientist,java/c/c++/r/python,Master,2.0,Rennes,"['java', 'c', 'c++', 'r', 'python']"
4312,UNKNOWN,Data engineer,spark/python/scala,Master,1.5,Marseille,"['spark', 'python', 'scala']"
4313,Georgia Tech Research Institute,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,7.0,Montpellier,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
4314,PreVisor,Data architecte,python/hadoop/kafka/aws,Master,3.0,Toulouse,"['python', 'hadoop', 'kafka', 'aws']"
4315,UNKNOWN,Data scientist,r/python/spark/pycharm/sas/sql,Master,1.5,Marseille,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
4316,Burns & McDonnell,Data architecte,hadoop/hive/vertica/tableau,Phd,0.5,Toulouse,"['hadoop', 'hive', 'vertica', 'tableau']"
4317,Thermo Fisher Scientific,Data engineer,elasticsearch/kibana/mongodb,No diploma,4.0,Toulouse,"['elasticsearch', 'kibana', 'mongodb']"
4318,Amazon.com,Data scientist,r/python/sql/nosql/mongodb,Master,2.5,Lille,"['r', 'python', 'sql', 'nosql', 'mongodb']"
4319,UNKNOWN,Data scientist,python/tensorflow/r/big data,Master,2.5,Paris,"['python', 'tensorflow', 'r', 'big data']"
4320,Wayfair,Lead data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Phd,8.0,Lyon,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
4321,Capgemini,Data scientist,r/python/spark/pycharm/sas/sql,Master,3.0,Paris,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
4322,Rubius Therapeutics,Data scientist,sql/r/python/big data,Phd,2.0,Lille,"['sql', 'r', 'python', 'big data']"
4323,Ball Aerospace,Data architecte,python/java/scala/mongodb,No diploma,4.0,Strasbourg,"['python', 'java', 'scala', 'mongodb']"
4324,UNKNOWN,Data scientist,sql/r/python/big data,Master,0.0,Paris,"['sql', 'r', 'python', 'big data']"
4325,Acadian Asset,Data scientist,sql/r/python/big data,Master,1.0,Lyon,"['sql', 'r', 'python', 'big data']"
4326,Blueprint Medicines,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,2.0,Toulon,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
4327,AFL-CIO,Data engineer,mongodb/mariadb/python/docker,Phd,2.5,Toulouse,"['mongodb', 'mariadb', 'python', 'docker']"
4328,Alexza Pharmaceuticals,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Bachelor,3.5,Bordeaux,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
4329,Analytic Recruiting,Data architecte,mongodb/sql/docker,Master,2.0,Nice,"['mongodb', 'sql', 'docker']"
4330,Anaconda,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Master,1.0,Paris,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
4331,LNS Research,Data scientist,r/python/sql/teradata/big data,Master,0.0,Bordeaux,"['r', 'python', 'sql', 'teradata', 'big data']"
4332,Gallup,Data scientist,excel/vba/r,Master,2.5,Paris,"['excel', 'vba', 'r']"
4333,DataRobot,Data architecte,hadoop/perl/gnu/linux,Bachelor,0.0,Paris,"['hadoop', 'perl', 'gnu', 'linux']"
4334,Dana-Farber Cancer Institute,Data engineer,hadoop/hive/sql/mariadb,Master,8.0,Nantes,"['hadoop', 'hive', 'sql', 'mariadb']"
4335,Ball Aerospace,Data scientist,excel/vba/r,Phd,0.0,Bordeaux,"['excel', 'vba', 'r']"
4336,Verisk Analytics,Data architecte,python/spark/hive/hadoop,Master,3.0,Paris,"['python', 'spark', 'hive', 'hadoop']"
4337,Gemological Institute of America,Data scientist,python/pyspark/machine learning/microsoft azure,Phd,2.5,Strasbourg,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
4338,The Goal Inc.,Data scientist,excel/vba/r,Master,0.0,Paris,"['excel', 'vba', 'r']"
4339,Brigham & Women's Hospital(BWH),Data scientist,excel/python/matlab/r/machine learning/anglais,Master,2.5,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
4340,Ball Aerospace,Data scientist,vba/python/excel/r,Master,0.5,Marseille,"['vba', 'python', 'excel', 'r']"
4341,Ball Aerospace,Data architecte,java/aws/elasticsearch/kibana,Master,1.5,Marseille,"['java', 'aws', 'elasticsearch', 'kibana']"
4342,Cedars-Sinai,Data engineer,java/hadoop/hadoop/yarn,No diploma,0.0,Rennes,"['java', 'hadoop', 'hadoop', 'yarn']"
4343,"Simple Mills, Inc.",Data architecte,python/spark/hive/hadoop,Phd,2.0,Grenoble,"['python', 'spark', 'hive', 'hadoop']"
4344,UNKNOWN,Data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Master,0.0,Paris,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
4345,R&D Partners,Data architecte,python/hadoop/kafka/aws,No diploma,0.5,Rennes,"['python', 'hadoop', 'kafka', 'aws']"
4346,Vertex,Data engineer,spark/python/scala,No diploma,7.0,Marseille,"['spark', 'python', 'scala']"
4347,UNKNOWN,Data scientist,vba/python/excel/r,Master,0.0,Lille,"['vba', 'python', 'excel', 'r']"
4348,Ball Aerospace,Lead data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,2.0,Bordeaux,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
4349,UNKNOWN,Data architecte,mongodb/sql/docker,Master,0.0,Marseille,"['mongodb', 'sql', 'docker']"
4350,KPMG,Data scientist,excel/vba/r,Phd,0.5,Paris,"['excel', 'vba', 'r']"
4351,Celestar Corporation,Data engineer,spark/python/scala,Master,0.5,Toulouse,"['spark', 'python', 'scala']"
4352,Diverse Lynx,Data architecte,python/hadoop/kafka/aws,Master,3.5,Paris,"['python', 'hadoop', 'kafka', 'aws']"
4353,Wayfair,Lead data scientist,c/c++/java/python,Master,6.0,Rouen,"['c', 'c++', 'java', 'python']"
4354,UNKNOWN,Data scientist,java/c/c++/r/python,Master,1.0,Toulon,"['java', 'c', 'c++', 'r', 'python']"
4355,Darwin Recruitment,Data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Master,2.0,Toulon,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
4356,UNKNOWN,Data scientist,matlab/c/c++/python/scikit-learn,Master,2.5,Paris,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
4357,Vertex,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,3.0,Paris,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4358,Businesses UNITED TECHNOLOGIES CORP. HEADQUARTERS,Data scientist,matlab/c/c++/python/scikit-learn,Master,1.0,Rennes,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
4359,HireStarter,Data scientist,python/tensorflow/r/big data,Phd,8.0,Lille,"['python', 'tensorflow', 'r', 'big data']"
4360,UNKNOWN,Data scientist,python/microsoft azure/r/sql,Phd,2.5,Paris,"['python', 'microsoft azure', 'r', 'sql']"
4361,Boston University,Data scientist,excel/vba/r,Phd,3.0,Lyon,"['excel', 'vba', 'r']"
4362,Google,Data scientist,python/tensorflow/scikit-learn/deep learning/r,No diploma,2.5,Lyon,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
4363,GreenSky,Data scientist,vba/python/excel/r,Master,3.0,Marseille,"['vba', 'python', 'excel', 'r']"
4364,Ball Aerospace,Data engineer,elasticsearch/kibana/mongodb,Master,0.0,Lille,"['elasticsearch', 'kibana', 'mongodb']"
4365,Blueprint Medicines,Data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Master,2.5,Paris,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
4366,NORC at the University of Chicago,Data engineer,elasticsearch/kibana/mongodb,Bachelor,2.5,Nantes,"['elasticsearch', 'kibana', 'mongodb']"
4367,UNKNOWN,Data scientist,r/machine learning/excel/vba,Master,1.5,Marseille,"['r', 'machine learning', 'excel', 'vba']"
4368,SparkCognition,Lead data scientist,python/microsoft azure/r/sql,Master,2.5,Paris,"['python', 'microsoft azure', 'r', 'sql']"
4369,Central Intelligence Agency,Data scientist,excel/vba/r,Phd,1.5,Marseille,"['excel', 'vba', 'r']"
4370,YIWEI Medical Inc.,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Bachelor,1.5,Lille,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
4371,William Blair & Company,Data engineer,c/c++/java/python/linux,Bachelor,3.0,Paris,"['c', 'c++', 'java', 'python', 'linux']"
4372,RecruiterDNA,Data scientist,excel/vba/r,Master,0.0,Paris,"['excel', 'vba', 'r']"
4373,UNKNOWN,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,2.0,Paris,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4374,Riverside Research,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Bachelor,0.5,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4375,UNKNOWN,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Master,3.0,Paris,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
4376,UNKNOWN,Data scientist,java/c/c++/r/python,Master,0.5,Lyon,"['java', 'c', 'c++', 'r', 'python']"
4377,Beacon Hill Technologies,Data engineer,spark/python/scala,Master,3.5,Paris,"['spark', 'python', 'scala']"
4378,Wayfair,Data engineer,java/hadoop/hadoop/yarn,Phd,3.5,Lyon,"['java', 'hadoop', 'hadoop', 'yarn']"
4379,LogMeIn,Data scientist,r/python/sql/nosql/mongodb,Phd,2.0,Paris,"['r', 'python', 'sql', 'nosql', 'mongodb']"
4380,23andMe,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,0.5,Paris,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
4381,UNKNOWN,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,3.0,Bordeaux,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4382,Eagle SNG,Data scientist,python/r/spark/hadoop/sql,Master,3.5,Rouen,"['python', 'r', 'spark', 'hadoop', 'sql']"
4383,Concentric Marketing,Data scientist,r/machine learning/excel/vba,Phd,0.0,Marseille,"['r', 'machine learning', 'excel', 'vba']"
4384,Ashton Lane Group,Data architecte,hadoop/elasticsearch,No diploma,1.0,Rennes,"['hadoop', 'elasticsearch']"
4385,OM1,Data engineer,elasticsearch/kibana/mongodb,Phd,3.0,Strasbourg,"['elasticsearch', 'kibana', 'mongodb']"
4386,Autodesk,Data architecte,python/aws/docker,Master,3.0,Lyon,"['python', 'aws', 'docker']"
4387,Ball Aerospace,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,7.0,Bordeaux,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
4388,Cogen Therapeutics,Data scientist,python/r/machine learning/excel/vba/c++,Phd,0.5,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
4389,Northwestern University,Data engineer,java/hadoop/hadoop/yarn,Bachelor,5.0,Marseille,"['java', 'hadoop', 'hadoop', 'yarn']"
4390,University of Colorado,Data scientist,python/pyspark/machine learning/microsoft azure,Master,3.5,Paris,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
4391,KPMG,Data engineer,hadoop/hive/sql/mariadb,Phd,0.0,Toulouse,"['hadoop', 'hive', 'sql', 'mariadb']"
4392,The Hexagon Lavish,Data engineer,spark/python/scala,Bachelor,0.0,Bordeaux,"['spark', 'python', 'scala']"
4393,UNKNOWN,Data scientist,python/pyspark/machine learning/microsoft azure,Master,3.0,Lyon,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
4394,UNKNOWN,Lead data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Master,8.0,Lyon,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
4395,UNKNOWN,Data engineer,spark/python/scala,Phd,0.0,Lille,"['spark', 'python', 'scala']"
4396,UNKNOWN,Data engineer,python/pyspark/spark,Master,0.0,Marseille,"['python', 'pyspark', 'spark']"
4397,Uptown Treehouse,Data engineer,oracle/java/mysql/linux,Master,0.0,Marseille,"['oracle', 'java', 'mysql', 'linux']"
4398,KPMG,Lead data scientist,sql/r/python/big data,Master,4.0,Bordeaux,"['sql', 'r', 'python', 'big data']"
4399,AIR Worldwide,Data scientist,r/python/sql/nosql/mongodb,Bachelor,4.0,Lille,"['r', 'python', 'sql', 'nosql', 'mongodb']"
4400,Sarepta Therapeutics,Data scientist,matlab/c/c++/python/scikit-learn,Phd,7.0,Toulouse,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
4401,KPMG,Data architecte,docker/gnu/windows/linux/python,No diploma,3.0,Nantes,"['docker', 'gnu', 'windows', 'linux', 'python']"
4402,Network ESC,Data scientist,vba/python/excel/r,Phd,4.0,Paris,"['vba', 'python', 'excel', 'r']"
4403,The Goal Inc.,Data engineer,spark/python/scala,Bachelor,1.5,Marseille,"['spark', 'python', 'scala']"
4404,KPMG,Data architecte,java/python/linux,Master,3.5,Paris,"['java', 'python', 'linux']"
4405,Wayfair,Data scientist,sql/r/python/big data,Phd,0.5,Toulouse,"['sql', 'r', 'python', 'big data']"
4406,Salient CRGT,Data engineer,python/spark/gnu/linux,Phd,3.0,Toulon,"['python', 'spark', 'gnu', 'linux']"
4407,KEYW Corporation,Data scientist,python/pyspark/machine learning/microsoft azure,Master,3.5,Bordeaux,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
4408,UNKNOWN,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Master,2.5,Nantes,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
4409,Eastern Bank,Data engineer,mongodb/mariadb/python/docker,Phd,8.0,Lyon,"['mongodb', 'mariadb', 'python', 'docker']"
4410,ThoughtWorks,Data architecte,python/java/scala/mongodb,Bachelor,1.0,Toulouse,"['python', 'java', 'scala', 'mongodb']"
4411,UNKNOWN,Data scientist,r/machine learning/excel/vba,Master,1.5,Toulon,"['r', 'machine learning', 'excel', 'vba']"
4412,Booz Allen Hamilton,Data scientist,r/machine learning/excel/vba,Master,2.5,Paris,"['r', 'machine learning', 'excel', 'vba']"
4413,Callière Group,Data scientist,excel/python/matlab/r/machine learning/anglais,Bachelor,0.5,Marseille,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
4414,Coupang,Data scientist,python/tensorflow/r/big data,Master,2.5,Marseille,"['python', 'tensorflow', 'r', 'big data']"
4415,UNKNOWN,Lead data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Phd,3.5,Marseille,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
4416,Harvard University,Data engineer,elasticsearch/kibana/mongodb,No diploma,3.5,Paris,"['elasticsearch', 'kibana', 'mongodb']"
4417,UNKNOWN,Data engineer,java/hadoop/hadoop/yarn,Bachelor,15.0,Lille,"['java', 'hadoop', 'hadoop', 'yarn']"
4418,Jacobs,Data engineer,python/pyspark/spark,Master,1.0,Bordeaux,"['python', 'pyspark', 'spark']"
4419,Burson-Marsteller,Data engineer,linux/python/hadoop/perl/ruby,Master,0.0,Lille,"['linux', 'python', 'hadoop', 'perl', 'ruby']"
